,0,1,2,3,4,5
84,1703528100000,43542.02,43622.64,43536.0,43622.64,22.989596
85,1703529000000,43622.64,43648.7,43585.92,43625.91,44.39321
86,1703529900000,43625.91,43634.0,43362.6,43447.38,115.610405
87,1703530800000,43447.38,43474.62,43410.0,43474.62,57.478778
88,1703531700000,43474.62,43477.9,43346.18,43435.91,34.802444
89,1703532600000,43435.91,43470.0,43395.0,43469.99,31.475708
90,1703533500000,43469.99,43498.5,43434.01,43470.01,44.813963
91,1703534400000,43470.01,43490.99,43360.4,43393.91,55.496732
92,1703535300000,43393.91,43469.97,43372.91,43402.91,31.064093
93,1703536200000,43402.91,43438.91,43320.21,43332.0,42.106016
94,1703537100000,43332.0,43415.53,43331.65,43414.01,24.402126
95,1703538000000,43414.01,43425.0,43326.01,43410.47,27.785128
96,1703538900000,43410.47,43438.91,43364.0,43369.61,31.935771
97,1703539800000,43369.61,43413.46,43333.91,43413.46,33.941813
98,1703540700000,43413.46,43533.3,43406.14,43518.46,44.827564
99,1703541600000,43518.46,43624.48,43481.72,43616.47,94.544341
100,1703542500000,43616.47,43717.9,43611.02,43619.99,58.679668
101,1703543400000,43619.99,43719.99,43619.98,43711.93,39.285168
102,1703544300000,43711.93,43711.94,43670.24,43677.0,24.888199
103,1703545200000,43677.0,43678.0,43564.92,43628.87,81.312245
104,1703546100000,43628.87,43636.0,43592.01,43620.0,48.455666
105,1703547000000,43620.0,43631.31,43582.01,43587.99,20.105944
106,1703547900000,43587.99,43649.53,43563.6,43572.0,30.004307
107,1703548800000,43572.0,43591.9,43540.0,43542.0,28.31561
108,1703549700000,43542.0,43558.99,43476.0,43486.91,18.114235
109,1703550600000,43486.91,43539.53,43486.9,43508.74,31.190859
110,1703551500000,43508.74,43511.55,43390.0,43444.0,33.8283
111,1703552400000,43444.0,43524.0,43425.0,43492.36,35.38542
112,1703553300000,43492.36,43543.91,43466.01,43507.91,36.094271
113,1703554200000,43507.91,43521.99,43426.92,43506.95,35.818255
114,1703555100000,43506.95,43510.0,43456.01,43503.88,22.29397
115,1703556000000,43503.88,43509.91,43441.11,43447.38,28.803585
116,1703556900000,43447.38,43476.92,43434.19,43440.01,14.716187
117,1703557800000,43440.01,43533.32,43404.01,43529.17,18.29599
118,1703558700000,43529.17,43532.65,43410.01,43410.01,28.261078
119,1703559600000,43410.01,43480.91,43389.63,43462.0,20.728232
120,1703560500000,43462.0,43464.95,43416.0,43442.0,24.286447
121,1703561400000,43442.0,43450.91,43361.38,43423.91,29.558616
122,1703562300000,43423.91,43470.0,43395.0,43447.99,19.528714
123,1703563200000,43447.99,43471.9,43383.45,43387.91,43.996776
124,1703564100000,43387.91,43430.0,43362.01,43424.54,47.212628
125,1703565000000,43424.54,43433.98,43392.01,43432.89,15.503874
126,1703565900000,43432.89,43471.91,43431.0,43446.03,19.160758
127,1703566800000,43446.03,43452.05,43133.49,43232.01,310.80674
128,1703567700000,43232.01,43259.99,43037.33,43093.12,159.520891
129,1703568600000,43093.12,43126.84,42638.88,42761.33,716.977226
130,1703569500000,42761.33,42851.37,42663.41,42766.92,186.727597
131,1703570400000,42766.92,42766.92,42513.85,42683.96,331.455174
132,1703571300000,42683.96,42817.45,42654.01,42686.98,133.745109
133,1703572200000,42686.98,42787.63,42664.48,42744.43,82.351399
134,1703573100000,42744.43,42792.0,42685.92,42690.36,118.240777
135,1703574000000,42690.36,42798.96,42635.61,42781.91,66.379377
136,1703574900000,42781.91,42835.5,42740.05,42789.93,46.214059
137,1703575800000,42789.93,42832.54,42758.25,42784.91,55.40574
138,1703576700000,42784.91,42806.73,42750.01,42772.91,47.323387
139,1703577600000,42772.91,42796.91,42690.12,42717.96,34.676238
140,1703578500000,42717.96,42763.25,42649.22,42696.01,60.696745
141,1703579400000,42696.01,42750.0,42662.01,42750.0,41.942593
142,1703580300000,42750.0,42793.91,42700.0,42707.38,44.994747
143,1703581200000,42707.38,42726.0,42654.01,42654.01,35.453002
144,1703582100000,42654.01,42698.0,42600.0,42674.99,50.072084
145,1703583000000,42674.99,42704.0,42545.45,42552.74,57.80338
146,1703583900000,42552.74,42552.74,42136.91,42409.91,759.592896
147,1703584800000,42409.91,42556.76,42361.92,42524.01,144.046337
148,1703585700000,42524.01,42564.0,42446.48,42564.0,67.874679
149,1703586600000,42564.0,42623.99,42550.11,42618.01,58.608103
150,1703587500000,42618.01,42663.3,42564.01,42650.0,112.701287
151,1703588400000,42650.0,42650.0,42569.99,42582.0,34.055556
152,1703589300000,42582.0,42664.13,42574.01,42620.04,28.207495
153,1703590200000,42620.04,42750.0,42608.0,42730.32,41.898016
154,1703591100000,42730.32,42730.32,42667.23,42681.88,46.842936
155,1703592000000,42681.88,42694.0,42624.0,42628.01,40.420968
156,1703592900000,42628.01,42736.9,42628.01,42705.0,30.870592
157,1703593800000,42705.0,42733.91,42664.91,42733.9,20.107997
158,1703594700000,42733.9,42792.0,42732.0,42764.0,28.153296
159,1703595600000,42764.0,42764.0,42744.01,42746.84,10.943891
160,1703596500000,42746.84,42764.0,42667.91,42676.01,49.802421
161,1703597400000,42676.01,42780.45,42627.55,42752.01,91.682904
162,1703598300000,42752.01,42760.0,42707.37,42714.92,34.236338
163,1703599200000,42714.92,42714.93,42643.78,42684.82,23.737984
164,1703600100000,42684.82,42819.67,42650.5,42776.03,66.575819
165,1703601000000,42776.03,42776.03,42670.01,42670.01,28.614585
166,1703601900000,42670.01,42703.91,42555.47,42598.9,66.67613
167,1703602800000,42598.9,42609.98,42444.42,42501.99,72.263537
168,1703603700000,42501.99,42648.51,42495.0,42648.51,38.505645
169,1703604600000,42648.51,42741.86,42578.56,42578.56,48.086284
170,1703605500000,42578.56,42592.0,42252.21,42389.72,277.698247
171,1703606400000,42389.72,42432.0,42238.24,42277.87,164.88373
172,1703607300000,42277.87,42348.25,42108.85,42282.03,215.064426
173,1703608200000,42282.03,42360.0,42282.03,42331.91,61.226659
174,1703609100000,42331.91,42353.01,42247.91,42320.03,66.0648
175,1703610000000,42320.03,42355.24,42234.01,42322.01,102.183378
176,1703610900000,42322.01,42367.28,42137.93,42256.91,93.491124
177,1703611800000,42256.91,42270.0,41601.34,41979.72,1069.743602
178,1703612700000,41979.72,42045.43,41770.91,42007.88,307.759287
179,1703613600000,42007.88,42150.0,41965.92,42046.01,295.665252
180,1703614500000,42046.01,42088.91,41858.0,41889.46,189.035844
181,1703615400000,41889.46,41998.03,41833.3,41996.53,120.262163
182,1703616300000,41996.53,42175.9,41996.53,42160.0,168.343807
183,1703617200000,42160.0,42286.89,42075.0,42231.05,232.504704
184,1703618100000,42231.05,42302.12,42214.92,42276.51,74.497548
185,1703619000000,42276.51,42281.64,42156.01,42184.91,48.107849
186,1703619900000,42184.91,42197.99,42088.96,42106.91,36.123071
187,1703620800000,42106.91,42154.0,42055.36,42128.01,42.952138
188,1703621700000,42128.01,42193.91,42086.7,42157.91,26.969148
189,1703622600000,42157.91,42186.0,42118.0,42186.0,27.228102
190,1703623500000,42186.0,42232.91,42115.93,42129.01,46.744969
191,1703624400000,42129.01,42244.19,42117.06,42238.05,35.256327
192,1703625300000,42238.05,42344.82,42233.26,42329.34,39.26656
193,1703626200000,42329.34,42332.44,42252.0,42292.0,40.27959
194,1703627100000,42292.0,42343.11,42250.91,42338.0,28.195031
195,1703628000000,42338.0,42442.45,42325.9,42439.91,44.036297
196,1703628900000,42439.91,42588.0,42434.8,42476.42,76.437573
197,1703629800000,42476.42,42513.16,42403.63,42445.91,24.187566
198,1703630700000,42445.91,42484.91,42441.6,42465.99,14.00897
199,1703631600000,42465.99,42517.46,42444.28,42510.0,41.835149
200,1703632500000,42510.0,42536.0,42405.01,42423.67,36.575602
201,1703633400000,42423.67,42481.91,42420.0,42479.97,29.183738
202,1703634300000,42479.97,42542.38,42479.97,42512.18,39.188365
203,1703635200000,42512.18,42545.43,42450.01,42454.91,44.405733
204,1703636100000,42454.91,42483.31,42430.91,42469.67,36.306759
205,1703637000000,42469.67,42472.67,42400.0,42415.37,26.788446
206,1703637900000,42415.37,42454.91,42339.35,42355.74,43.464584
207,1703638800000,42355.74,42460.0,42336.94,42336.94,56.68975
208,1703639700000,42336.94,42409.91,42304.59,42372.0,66.00603
209,1703640600000,42372.0,42474.99,42363.64,42474.99,31.644786
210,1703641500000,42474.99,42500.0,42432.01,42457.4,34.72561
211,1703642400000,42457.4,42478.91,42386.02,42402.01,27.52308
212,1703643300000,42402.01,42454.0,42325.91,42352.91,35.938173
213,1703644200000,42352.91,42411.92,42272.72,42272.72,58.760224
214,1703645100000,42272.72,42337.82,42186.08,42220.84,70.354347
215,1703646000000,42220.84,42335.97,42220.84,42316.81,23.099937
216,1703646900000,42316.81,42332.99,42186.72,42211.86,22.495634
217,1703647800000,42211.86,42292.05,42113.96,42268.91,62.803102
218,1703648700000,42268.91,42286.0,42225.01,42234.0,16.621654
219,1703649600000,42234.0,42277.91,42208.06,42277.91,37.018245
220,1703650500000,42277.91,42334.61,42277.91,42320.45,31.578996
221,1703651400000,42320.45,42330.0,42274.02,42301.9,23.454332
222,1703652300000,42301.9,42324.0,42247.91,42296.0,16.473052
223,1703653200000,42296.0,42420.0,42276.0,42407.55,96.978811
224,1703654100000,42407.55,42413.99,42325.91,42325.91,68.122338
225,1703655000000,42325.91,42375.0,42300.0,42345.0,28.617766
226,1703655900000,42345.0,42456.0,42336.0,42450.01,60.643525
227,1703656800000,42450.01,42480.0,42410.01,42468.0,54.821894
228,1703657700000,42468.0,42494.95,42441.91,42480.79,29.466566
229,1703658600000,42480.79,42545.17,42474.01,42504.0,62.776829
230,1703659500000,42504.0,42504.0,42428.01,42430.0,55.907099
